15
2
0 0 d red
v 0 2 r blue
v 2 2 r blue
v 4 2 r blue
v 6 2 r blue
v 8 2 r blue
v 10 2 r blue
v 12 2 r blue
v 0 3 r yellow
v 2 3 r yellow
v 4 3 r yellow
v 6 3 r yellow
v 8 3 r yellow
v 10 3 r yellow
v 12 3 r yellow
v 0 4 r police
v 2 4 r police
v 4 4 r police
v 6 4 r police
v 8 4 r police
v 10 4 r police
v 12 4 r police
v 0 5 r taxi
v 2 5 r taxi
v 4 5 r taxi
v 6 5 r taxi
v 8 5 r taxi
v 10 5 r taxi
v 12 5 r taxi
v 0 6 r van
v 2 6 r van
v 4 6 r van
v 6 6 r van
v 8 6 r van
v 10 6 r van
v 12 6 r van
v 0 7 r striped
v 2 7 r striped
v 4 7 r striped
v 6 7 r striped
v 8 7 r striped
v 11 7 r truck
v 0 8 r gray
v 2 8 r gray
v 4 8 r gray
v 6 8 r gray
v 8 8 r gray
v 11 8 r truck
v 0 9 r blue
v 2 9 r blue
v 4 9 r blue
v 6 9 r blue
v 8 9 r blue
v 10 9 r blue
v 12 9 r blue
v 0 10 r taxi
v 2 10 r taxi
v 4 10 r taxi
v 6 10 r taxi
v 8 10 r taxi
v 10 10 r taxi
v 12 10 r taxi
v 0 11 r police
v 2 11 r police
v 4 11 r police
v 6 11 r police
v 8 11 r police
v 10 11 r police
v 12 11 r police
v 0 12 r yellow
v 2 12 r yellow
v 4 12 r yellow
v 6 12 r yellow
v 8 12 r yellow
v 10 12 r yellow
v 12 12 r yellow
v 0 13 r van
v 2 13 r van
v 4 13 r van
v 6 13 r van
v 8 13 r van
v 10 13 r van
v 12 13 r van
v 14 13 u striped
v 0 14 r school_bus
v 3 14 r school_bus
v 6 14 r school_bus
v 9 14 r school_bus
v 12 14 r gray
v 1 1 r striped
v 3 1 r striped
v 5 1 r striped
v 7 1 r striped
v 9 1 r striped
v 11 1 r striped
v 13 1 r striped
o 1 0 d trashbin
o 2 0 d trashbin
o 3 0 d trashbin
o 4 0 d trashbin
o 5 0 d trashbin
o 6 0 d trashbin
o 7 0 d trashbin
o 8 0 d trashbin
o 9 0 d trashbin
o 10 0 d trashbin
o 11 0 d trashbin
o 12 0 d trashbin
o 13 0 d trashbin
o 14 0 d trashbin
